	Group	SGB	Retention
0	cephalosporins	t__SGB15286	0.5833333333333334
1	control	t__SGB15286	1.0
2	cephalosporins	t__SGB5082	0.5
3	control	t__SGB5082	0.5
4	cephalosporins	t__SGB14899	0.5
5	control	t__SGB14899	1.0
6	cephalosporins	t__SGB15216	1.0
7	control	t__SGB15216	0.6666666666666666
8	cephalosporins	t__SGB4705	0.4
9	control	t__SGB4705	0.5
10	cephalosporins	t__SGB4951	1.0
11	control	t__SGB4951	1.0
12	cephalosporins	t__SGB1812	0.8
13	control	t__SGB1812	1.0
14	cephalosporins	t__SGB1846	0.8333333333333334
15	control	t__SGB1846	
16	cephalosporins	t__SGB4925	1.0
17	control	t__SGB4925	0.5
18	cephalosporins	t__SGB5075	0.3333333333333333
19	control	t__SGB5075	1.0
20	cephalosporins	t__SGB5089	
21	control	t__SGB5089	1.0
22	cephalosporins	t__SGB4758	0.0
23	control	t__SGB4758	
24	cephalosporins	t__SGB4269	0.5
25	control	t__SGB4269	0.0
26	cephalosporins	t__SGB1830	1.0
27	control	t__SGB1830	1.0
28	cephalosporins	t__SGB1871	0.6428571428571429
29	control	t__SGB1871	0.75
30	cephalosporins	t__SGB15318	0.25
31	control	t__SGB15318	1.0
32	cephalosporins	t__SGB4933	0.5
33	control	t__SGB4933	0.8
34	cephalosporins	t__SGB4198	0.4
35	control	t__SGB4198	1.0
36	cephalosporins	t__SGB2303	0.6666666666666666
37	control	t__SGB2303	0.75
38	cephalosporins	t__SGB15350	0.6666666666666666
39	control	t__SGB15350	0.6666666666666666
40	cephalosporins	t__SGB15078	0.375
41	control	t__SGB15078	0.5
42	cephalosporins	t__SGB1867	0.6666666666666666
43	control	t__SGB1867	0.75
44	cephalosporins	t__SGB15316	0.5
45	control	t__SGB15316	0.2
46	cephalosporins	t__SGB1862	0.3333333333333333
47	control	t__SGB1862	1.0
48	cephalosporins	t__SGB4910	0.6666666666666666
49	control	t__SGB4910	0.6666666666666666
50	cephalosporins	t__SGB15089	0.0
51	control	t__SGB15089	1.0
52	cephalosporins	t__SGB4262	0.6666666666666666
53	control	t__SGB4262	1.0
54	cephalosporins	t__SGB1949	0.9333333333333333
55	control	t__SGB1949	1.0
56	cephalosporins	t__SGB4644	1.0
57	control	t__SGB4644	0.5
58	cephalosporins	t__SGB14861	0.5
59	control	t__SGB14861	1.0
60	cephalosporins	t__SGB5792	0.75
61	control	t__SGB5792	1.0
62	cephalosporins	t__SGB2301	0.42857142857142855
63	control	t__SGB2301	0.6666666666666666
64	cephalosporins	t__SGB4826	
65	control	t__SGB4826	0.0
66	cephalosporins	t__SGB15154	0.3333333333333333
67	control	t__SGB15154	0.6666666666666666
68	cephalosporins	t__SGB2295	0.8333333333333334
69	control	t__SGB2295	1.0
70	cephalosporins	t__SGB15132	0.2222222222222222
71	control	t__SGB15132	0.25
72	cephalosporins	t__SGB15126	0.2
73	control	t__SGB15126	1.0
74	cephalosporins	t__SGB5825_group	0.0
75	control	t__SGB5825_group	1.0
76	cephalosporins	t__SGB15049	0.0
77	control	t__SGB15049	0.0
78	cephalosporins	t__SGB15225	0.0
79	control	t__SGB15225	0.5
80	cephalosporins	t__SGB2328	0.75
81	control	t__SGB2328	0.75
82	cephalosporins	t__SGB10068	1.0
83	control	t__SGB10068	
84	cephalosporins	t__SGB4936	1.0
85	control	t__SGB4936	0.6666666666666666
86	cephalosporins	t__SGB15143	0.0
87	control	t__SGB15143	0.0
88	cephalosporins	t__SGB14853	0.0
89	control	t__SGB14853	0.0
90	cephalosporins	t__SGB4837	0.0
91	control	t__SGB4837	0.25
92	cephalosporins	t__SGB1814	0.8
93	control	t__SGB1814	1.0
94	cephalosporins	t__SGB4914	0.75
95	control	t__SGB4914	0.8
96	cephalosporins	t__SGB15249	0.4
97	control	t__SGB15249	0.75
98	cephalosporins	t__SGB15236	0.8333333333333334
99	control	t__SGB15236	0.75
100	cephalosporins	t__SGB15124	0.3333333333333333
101	control	t__SGB15124	0.0
102	cephalosporins	t__SGB4940	
103	control	t__SGB4940	0.3333333333333333
104	cephalosporins	t__SGB15346	0.3333333333333333
105	control	t__SGB15346	1.0
106	cephalosporins	t__SGB15254	0.5
107	control	t__SGB15254	0.3333333333333333
108	cephalosporins	t__SGB15271	0.1111111111111111
109	control	t__SGB15271	0.5
110	cephalosporins	t__SGB15300	0.5
111	control	t__SGB15300	0.3333333333333333
112	cephalosporins	t__SGB15452	0.6666666666666666
113	control	t__SGB15452	1.0
114	cephalosporins	t__SGB15340	0.3333333333333333
115	control	t__SGB15340	0.6666666666666666
116	cephalosporins	t__SGB15229	0.0
117	control	t__SGB15229	0.0
118	cephalosporins	t__SGB15053	0.5
119	control	t__SGB15053	0.75
120	cephalosporins	t__SGB1790	0.7142857142857143
121	control	t__SGB1790	1.0
122	cephalosporins	t__SGB1844	1.0
123	control	t__SGB1844	1.0
124	cephalosporins	t__SGB2318	0.8461538461538461
125	control	t__SGB2318	1.0
126	cephalosporins	t__SGB1855	0.75
127	control	t__SGB1855	1.0
128	cephalosporins	t__SGB15342	0.5
129	control	t__SGB15342	0.2
130	cephalosporins	t__SGB15356	0.8
131	control	t__SGB15356	1.0
132	cephalosporins	t__SGB9283	1.0
133	control	t__SGB9283	1.0
134	cephalosporins	t__SGB15332	0.25
135	control	t__SGB15332	0.3333333333333333
136	cephalosporins	t__SGB4993	0.0
137	control	t__SGB4993	0.6666666666666666
138	cephalosporins	t__SGB2290	0.5555555555555556
139	control	t__SGB2290	1.0
140	cephalosporins	t__SGB15164	0.3333333333333333
141	control	t__SGB15164	1.0
142	cephalosporins	t__SGB4285	0.8571428571428571
143	control	t__SGB4285	0.75
144	cephalosporins	t__SGB5087	1.0
145	control	t__SGB5087	0.5
146	cephalosporins	t__SGB1934	0.8666666666666667
147	control	t__SGB1934	1.0
148	cephalosporins	t__SGB4608	0.8
149	control	t__SGB4608	0.0
150	cephalosporins	t__SGB1965	1.0
151	control	t__SGB1965	1.0
152	cephalosporins	t__SGB15106	0.0
153	control	t__SGB15106	1.0
154	cephalosporins	t__SGB9262	0.6666666666666666
155	control	t__SGB9262	0.3333333333333333
156	cephalosporins	t__SGB17248	0.25
157	control	t__SGB17248	0.5
158	cephalosporins	t__SGB1815	0.6
159	control	t__SGB1815	1.0
160	cephalosporins	t__SGB1861	0.6
161	control	t__SGB1861	0.5
162	cephalosporins	t__SGB1877	0.8181818181818182
163	control	t__SGB1877	1.0
